St,Re,Fr,R_moment_1,R_moment_2,R_moment_3,R_moment_4,mean,variance,sd,skewness,kurtosis
0.6,90,0.052,0.12946,718.16,5720000,45600000000,0.12946,718.1432401083999,26.798194717338703,297.2064541124621,88412.66432851259
1.5,90,0.3,0.13678,1.8254,32.833,609.03,0.13678,1.8066912316,1.344132148116397,13.213911867920627,181.14158569033964
0.1,90,0.052,0.10464,160.15,699000,3070000000,0.10464,160.1390504704,12.654605899450209,344.9054577144345,119702.29809213536
3,90,0.052,0.15538,1044.3,9140000,80000000000,0.15538,1044.2758570556,32.315257341627344,270.8321447414052,73354.82291277325
2,224,0.052,0.0036347,0.44512,65.387,9610.5,0.0036347,0.44510678895591,0.6671632401113763,220.17238483779917,48503.668424188654
0.05,90,0.052,0.087868,0.53449,22.205,1567.9,0.087868,0.526769214576,0.7257886845191237,57.7141718120672,5622.342170311883
0.4,90,0.3,0.080957,0.39996,4.3303,53.618,0.080957,0.393405964151,0.6272208256674837,17.15980177150799,337.480884942997
0.9,398,0.052,3.4145e-4,0.0050555,0.094083,1.7522,3.4145e-4,0.0050553834118975,0.071101219482492,261.731565883383,68555.70926702679
3,90,0.3,0.16433,2.3317,44.516,887.79,0.16433,2.3046956511000003,1.5181224097878274,12.397177621036946,161.70283658555852
0.05,224,Inf,0.0015338,2.5653e-4,3.0407e-4,5.4466e-4,0.0015338,2.5417745756e-4,0.015942943817250314,74.74620819701906,8401.6432281405
0.05,224,0.3,0.0013538,1.0303e-4,5.14e-5,4.16e-5,0.0013538,1.0119722556e-4,0.010059683173937437,50.084394894188634,4035.0817348841265
0.6,224,Inf,0.0029171,0.044317,0.85282,16.431,0.0029171,0.044308490527590005,0.21049582068912914,91.39647020067149,8364.250781960329
1.5,224,Inf,0.0037031,0.06091,1.1829,22.99,0.0037031,0.06089628705039,0.24677173065485034,78.67075952055127,6194.786158024543
